kind,commentId,channelId,videoId,authorId,textOriginal,parentCommentId,likeCount,publishedAt,updatedAt,clean_comment,sentiment,category
youtube#comment,1229714,17059,4866,2269199,apo.biyer saj ta daw,,1,2023-08-03 16:22:01+00:00,2023-08-03 16:22:01+00:00,apobiyer saj ta daw,positive,other
youtube#comment,3287029,19657,40982,1567976,Didi you are so cute and beautiful ❤️,,0,2024-07-04 09:28:06+00:00,2024-07-04 09:28:06+00:00,didi you are so cute and beautiful ❤,spam,other
youtube#comment,3374308,41246,53368,1749706,East or west  India is the best 😀,,0,2021-09-18 03:08:53+00:00,2021-09-18 03:08:53+00:00,east or west india is the best 😀,spam,other
youtube#comment,281675,39956,38959,1345945,As a 5’7 black man who’s facially handsome I would trade my face for 5 inches in height without a 2nd thought. Body and physique just matters more,2671693.0,5,2023-09-20 14:21:21+00:00,2023-09-20 14:21:20+00:00,as a 57 black man whos facially handsome i would trade my face for 5 inches in height without a 2nd thought body and physique just matters more,spam,other
youtube#comment,2977572,53240,52753,3385947,Slay!,,0,2025-01-08 02:35:52+00:00,2025-01-08 02:35:52+00:00,slay,positive,other
youtube#comment,2114985,2498,70775,3436056,😍😍😍😍😍👍👍👍👍,,0,2022-03-26 17:02:53+00:00,2022-03-26 17:02:53+00:00,😍😍😍😍😍👍👍👍👍,positive,other
youtube#comment,862952,45729,52456,425187,"everyone lying so badly.Just to make 1 person feel better about themselves.I'm not even gonna lie, not even a wig and makeup.I'm gonna save you😂",,0,2025-02-22 07:51:28+00:00,2025-02-22 07:51:28+00:00,everyone lying so badlyjust to make 1 person feel better about themselvesim not even gonna lie not even a wig and makeupim gonna save you😂,negative,cosmetic
youtube#comment,2597557,31638,62509,2462296,"So many girls are soo ugly without makeup. Where are all the natural beauties, do they even exist any more?",,0,2022-05-22 08:41:23+00:00,2022-05-22 08:41:23+00:00,so many girls are soo ugly without makeup where are all the natural beauties do they even exist any more,negative,cosmetic
youtube#comment,1319274,23845,31993,504622,"I have 3 sisters but I’m not sure what they are called but they are used for spreading/applying makeup
Am I right
👇",,884,2025-04-09 01:46:46+00:00,2025-04-09 01:46:46+00:00,i have 3 sisters but im not sure what they are called but they are used for spreadingapplying makeup am i right 👇,positive,cosmetic
youtube#comment,3687880,16770,83302,2936411,Poli,,0,2021-12-06 08:22:02+00:00,2021-12-06 08:22:02+00:00,poli,positive,other
youtube#comment,475100,14531,33326,384925,Agreed,624224.0,0,2025-05-05 13:09:58+00:00,2025-05-05 13:09:58+00:00,agreed,positive,other
youtube#comment,3855094,50726,15643,3059085,So beautiful! What size of the T3 curler do you use?,,5,2023-09-27 19:52:24+00:00,2023-09-27 19:52:24+00:00,so beautiful what size of the t3 curler do you use,spam,other
youtube#comment,2657517,49753,92236,707503,Me encantaría q este traducido en Español 🙏❤,,0,2023-09-03 00:54:56+00:00,2023-09-03 00:54:56+00:00,me encantaría q este traducido en español 🙏❤,spam,other
youtube#comment,2037532,33748,84982,298335,I like 1990,,0,2024-11-27 04:23:46+00:00,2024-11-27 04:23:46+00:00,i like 1990,positive,general_command
youtube#comment,3056150,53230,53826,1041126,How long does it last👀?,,0,2024-08-04 09:45:08+00:00,2024-08-04 09:45:08+00:00,how long does it last👀,positive,other
youtube#comment,828140,29550,53751,2407292,what abt filipino 😞🙏,,0,2023-07-21 21:06:59+00:00,2023-07-21 21:06:59+00:00,what abt filipino 😞🙏,negative,other
youtube#comment,2616801,47547,7313,3334146,this is my go to makeup,,0,2025-02-27 14:55:35+00:00,2025-02-27 14:55:35+00:00,this is my go to makeup,spam,cosmetic
youtube#comment,3178630,6926,32656,902483,My favourite is 1990s becos my mum was born in the 1990s😊😊😊❤❤,,0,2023-07-14 10:45:40+00:00,2023-07-14 10:45:40+00:00,my favourite is 1990s becos my mum was born in the 1990s😊😊😊❤❤,positive,other
youtube#comment,3518683,22457,38141,460442,You are very preety,,1,2020-08-18 16:31:45+00:00,2020-08-18 16:31:45+00:00,you are very preety,spam,other
youtube#comment,3478010,19502,9137,2362398,Pink is my favorite color and I’m a preppy too!,,42,2024-07-29 00:43:10+00:00,2024-07-29 00:43:10+00:00,pink is my favorite color and im a preppy too,spam,other
youtube#comment,3054484,13095,68060,1710970,❤beautiful face。 Doesnt need make-up！,,1,2024-08-16 18:20:25+00:00,2024-08-16 18:20:25+00:00,❤beautiful face doesnt need makeup,spam,cosmetic
youtube#comment,43729,31719,61348,1637238,❤️❤️❤️❤️welcome sweetie,4435806.0,0,2021-03-03 04:14:25+00:00,2021-03-03 04:14:25+00:00,❤❤❤❤welcome sweetie,spam,other
youtube#comment,351409,47471,87057,2807920,Is that you in your profile picture?,2521048.0,0,2024-04-20 18:59:09+00:00,2024-04-20 18:59:09+00:00,is that you in your profile picture,positive,other
youtube#comment,1258142,31641,40948,1509302,Girl im about to start using vaseline,,0,2025-01-01 19:06:16+00:00,2025-01-01 19:06:16+00:00,girl im about to start using vaseline,positive,other
youtube#comment,1235651,14492,18248,411112,Slay girly you are beautiful💅💅,,0,2023-06-06 17:57:27+00:00,2023-06-06 17:57:27+00:00,slay girly you are beautiful💅💅,spam,other
youtube#comment,3066800,24860,60524,1588841,Beyoncé will have someone write whatever y’all want to hear. It’s just a money grab. Her products will more than likely be trash. She doesn’t care at all. She just needs everyone to run out and try it. She’ll make millions off that alone.,,0,2023-07-24 20:32:32+00:00,2023-07-24 20:32:32+00:00,beyoncé will have someone write whatever yall want to hear its just a money grab her products will more than likely be trash she doesnt care at all she just needs everyone to run out and try it shell make millions off that alone,negative,general_command
youtube#comment,4348771,50201,53793,1937996,😍,,0,2023-10-30 07:19:32+00:00,2023-10-30 07:19:32+00:00,😍,positive,other
youtube#comment,4276629,52826,50141,3073342,The 60s and the 20s,,0,2023-07-03 07:46:27+00:00,2023-07-03 07:46:27+00:00,the 60s and the 20s,positive,other
youtube#comment,1160955,31168,67331,3267345,Literally!! You’ve hit the nail on the head!,,0,2025-02-03 21:50:08+00:00,2025-02-03 21:50:08+00:00,literally youve hit the nail on the head,negative,other
youtube#comment,54602,40382,56103,1980685,"As a girl 
I cant even see the diff",1550162.0,0,2021-04-24 06:10:23+00:00,2021-04-24 06:10:23+00:00,as a girl i cant even see the diff,positive,other
youtube#comment,1036896,33445,91263,3386546,Happens with me..all the time! 😒,,0,2024-05-08 05:47:36+00:00,2024-05-08 05:47:36+00:00,happens with meall the time 😒,negative,other
youtube#comment,464321,43077,90851,1198552,Literally 😭,2915535.0,8,2025-03-26 05:57:51+00:00,2025-03-26 05:57:51+00:00,literally 😭,positive,other
youtube#comment,264766,28082,64723,578083,Yay! Us too!  ✨💕,1213332.0,0,2023-08-02 15:56:49+00:00,2023-08-02 15:56:49+00:00,yay us too ✨💕,spam,other
youtube#comment,425968,29194,28635,434073,"@ I didn’t know that, it makes sense tbh",647715.0,0,2024-12-15 11:16:32+00:00,2024-12-15 11:16:32+00:00,i didnt know that it makes sense tbh,positive,other
youtube#comment,40220,8281,44208,839808,I'm glad you like them. I always giggle finding them for you too,877369.0,1,2021-01-28 01:47:37+00:00,2021-01-28 01:47:37+00:00,im glad you like them i always giggle finding them for you too,spam,general_command
youtube#comment,4577423,6926,32656,2129302,Filter,,0,2023-07-03 15:25:08+00:00,2023-07-03 15:25:08+00:00,filter,positive,other
youtube#comment,3387608,45729,59850,1066724,Hey hack if you do not want eye makeup to go do it last pls pin,,0,2025-05-13 16:09:56+00:00,2025-05-13 16:09:56+00:00,hey hack if you do not want eye makeup to go do it last pls pin,positive,cosmetic
youtube#comment,701827,46974,47852,321546,Love love all you're videos you always look amazing!!!!🥰🥰🥰 Love the contents of this video thanks for sharing ❤️❤️❤️💯,,2,2021-10-29 15:27:50+00:00,2021-10-29 15:27:50+00:00,love love all youre videos you always look amazing🥰🥰🥰 love the contents of this video thanks for sharing ❤❤❤💯,positive,other
youtube#comment,591040,42867,82266,1870956,I don't know why but u look like chapri😂👌,,1,2024-01-03 11:39:21+00:00,2024-01-03 11:39:21+00:00,i dont know why but u look like chapri😂👌,spam,general_command
youtube#comment,3046306,20111,82728,396261,That’s true !,,0,2024-12-25 18:55:56+00:00,2024-12-25 18:55:56+00:00,thats true,positive,other
youtube#comment,3326492,18595,88934,1648176,"I am beautiful , I am Loved and I am enough - Beautiful quote to live by.",,0,2025-04-27 18:33:34+00:00,2025-04-27 18:33:34+00:00,i am beautiful i am loved and i am enough beautiful quote to live by,spam,other
youtube#comment,3405879,2576,23401,2975732,Your pretty before and pretty after,,0,2022-06-07 02:33:55+00:00,2022-06-07 02:33:55+00:00,your pretty before and pretty after,spam,other
youtube#comment,3345936,41313,12401,1019311,Jasmine but a bit more wavier,,1,2025-06-21 04:29:21+00:00,2025-06-21 04:29:21+00:00,jasmine but a bit more wavier,positive,other
youtube#comment,119699,46252,59680,438459,Thanks so much!! I loved making this video with Gail and every video! xoxo Ro,4689069.0,0,2022-03-01 04:30:13+00:00,2022-03-01 04:30:13+00:00,thanks so much i loved making this video with gail and every video xoxo ro,spam,other
youtube#comment,1234768,33756,6338,2528886,My turned down mouth corners said no unfortunately,,0,2023-04-21 05:13:43+00:00,2023-04-21 05:13:43+00:00,my turned down mouth corners said no unfortunately,negative,other
youtube#comment,14399,44973,40228,2741484,Mujhe,1825273.0,6,2020-08-15 08:47:21+00:00,2020-08-15 08:47:21+00:00,mujhe,positive,other
youtube#comment,3558896,26247,47960,1482810,"Holy shit, cute.",,0,2024-03-02 23:33:14+00:00,2024-03-02 23:33:14+00:00,holy shit cute,spam,other
youtube#comment,1825046,39096,72540,159303,It looks so nice on you.,,0,2025-04-08 20:34:47+00:00,2025-04-08 20:34:47+00:00,it looks so nice on you,spam,other
youtube#comment,625289,44063,36662,1788861,I love the new Brad! 😅 but I miss the old manni quinnn,,0,2024-09-01 16:26:55+00:00,2024-09-01 16:26:55+00:00,i love the new brad 😅 but i miss the old manni quinnn,spam,other
youtube#comment,508590,49592,46405,2600820,"well you look beautiful and your cheeks are cute and trust me its the beauty standard in so many countries to have cute chubby cheeks, i have chubby cheeks as well! ​@Alayna-d7r5f",3266331.0,0,2025-06-27 06:36:05+00:00,2025-06-27 06:36:05+00:00,well you look beautiful and your cheeks are cute and trust me its the beauty standard in so many countries to have cute chubby cheeks i have chubby cheeks as well alaynad7r5f,spam,other
youtube#comment,3441813,29092,18882,858777,"I'm an 'older' babe than you, Dominique, and even though known as pretty all my life, I have thanked God for makeup many times and even more so as I age:-) Thanks for your valueable tips.",,6,2021-05-06 13:15:20+00:00,2021-05-06 13:15:20+00:00,im an older babe than you dominique and even though known as pretty all my life i have thanked god for makeup many times and even more so as i age thanks for your valueable tips,spam,cosmetic
youtube#comment,4557772,14382,28116,2737638,She’s always pretty ❤,,6,2024-06-12 01:20:27+00:00,2024-06-12 01:20:27+00:00,shes always pretty ❤,spam,other
youtube#comment,75113,11399,31634,2103851,"@@m1ku182 I kinda agree, also since I grew up in the hood, I kinda don't pay attention to personality in girls.

I should though, but I  can't, what should I do? 🤔",1752400.0,0,2021-07-20 14:01:46+00:00,2021-07-20 14:01:46+00:00,m1ku182 i kinda agree also since i grew up in the hood i kinda dont pay attention to personality in girls i should though but i cant what should i do 🤔,positive,other
youtube#comment,3877591,12966,37507,792829,Wow. I can only wish!! Non of my local hairdressers would ever do anything like this. I'm sooooo envious! 💜,,0,2023-02-21 01:41:59+00:00,2023-02-21 01:41:59+00:00,wow i can only wish non of my local hairdressers would ever do anything like this im sooooo envious 💜,spam,hair
youtube#comment,2417446,37371,5214,2394595,Is this Dude gay or something?,,0,2023-07-25 09:39:32+00:00,2023-07-25 09:39:32+00:00,is this dude gay or something,negative,other
youtube#comment,3076383,33445,91263,1337078,Some times water works and sometimes it doesn't.😢 Best way to part a cowlick is with gel. But i hate gel because while it does look slick it forms a crust.,,0,2024-04-18 06:32:39+00:00,2024-04-18 06:32:39+00:00,some times water works and sometimes it doesnt😢 best way to part a cowlick is with gel but i hate gel because while it does look slick it forms a crust,negative,other
youtube#comment,3221524,36549,28396,221897,I think what this song means is that you should have to wait for someone who doesn’t like you back if your not YOU and that the time will come,,0,2023-07-19 12:03:07+00:00,2023-07-19 12:03:07+00:00,i think what this song means is that you should have to wait for someone who doesnt like you back if your not you and that the time will come,positive,general_command
youtube#comment,2095642,38179,45028,1582806,WOW! Gorgeous makeup,,0,2021-09-21 13:03:58+00:00,2021-09-21 13:03:58+00:00,wow gorgeous makeup,spam,cosmetic
youtube#comment,562424,16475,52479,2256461,She does good make up,,0,2023-01-19 03:33:15+00:00,2023-01-19 03:33:15+00:00,she does good make up,spam,other
youtube#comment,2326191,46757,78060,1506366,Me except i’m always sad,,0,2022-07-25 01:03:16+00:00,2022-07-25 01:03:16+00:00,me except im always sad,negative,other
youtube#comment,3532509,22013,58611,989335,I’m a sag and this is true bc this friend is trying to steal stuff from me so I ignore them then I do nothing about it,,0,2025-04-14 18:55:40+00:00,2025-04-14 18:55:40+00:00,im a sag and this is true bc this friend is trying to steal stuff from me so i ignore them then i do nothing about it,negative,other
youtube#comment,4356590,18073,51351,2714755,Night,,0,2023-03-06 12:24:47+00:00,2023-03-06 12:24:47+00:00,night,positive,other
youtube#comment,1057328,18073,11017,3079813,Körea,,0,2023-01-14 08:42:04+00:00,2023-01-14 08:42:04+00:00,körea,positive,other
youtube#comment,231011,29341,38555,3492256,❤,1218734.0,0,2023-06-30 05:46:31+00:00,2023-06-30 05:46:31+00:00,❤,spam,other
youtube#comment,4133162,53421,69179,2113838,"She looks very elegant, beautiful ❤",,0,2025-01-12 07:45:06+00:00,2025-01-12 07:45:06+00:00,she looks very elegant beautiful ❤,spam,other
youtube#comment,3624237,11679,743,1131567,❤❤❤,,0,2024-05-07 01:03:22+00:00,2024-05-07 01:03:22+00:00,❤❤❤,spam,other
youtube#comment,2743723,10895,79032,1848345,You are beautiful,,0,2024-07-18 19:49:08+00:00,2024-07-18 19:49:08+00:00,you are beautiful,spam,other
youtube#comment,581824,14492,58800,2614334,😡🤬🩷👌😢❤ özür dilerim,,0,2023-07-24 19:49:37+00:00,2023-07-24 19:49:37+00:00,😡🤬🩷👌😢❤ özür dilerim,negative,other
youtube#comment,1088734,14489,21152,989791,You so preeeeeeeeetyyyyyy,,0,2025-01-24 18:02:56+00:00,2025-01-24 18:02:56+00:00,you so preeeeeeeeetyyyyyy,spam,other
youtube#comment,1992940,18073,51351,3297748,Night is beautiful ❤️,,1,2022-10-20 17:17:07+00:00,2022-10-20 17:17:07+00:00,night is beautiful ❤,spam,other
youtube#comment,4205038,14429,69445,938173,"As someone that meets conventionally attractive standards and does not look good in dramatic makeup—it makes me look like a child playing with her mother’s makeup—the concept of “no makeup is always better” often but not always comes from a place of pretty privilege. I prefer light makeup, not none when I have the time with an outfit I put a lot of thought into. Sure vanity isn’t always the best, but making myself feel presentable based on my standards really makes my seem better. Basically, no makeup makes you feel your best? Awesome! Dramatic looks? Super cool! Light makeup? Also fine! Take care of your skin, of course, but using mineral water/oil cleanser followed with a water-soluble cleaner and daily SPF will ensure to minimize any negative impacts. Also, test products to see hope your skin reacts!",,3,2023-12-15 01:18:19+00:00,2023-12-15 01:18:19+00:00,as someone that meets conventionally attractive standards and does not look good in dramatic makeupit makes me look like a child playing with her mothers makeupthe concept of no makeup is always better often but not always comes from a place of pretty privilege i prefer light makeup not none when i have the time with an outfit i put a lot of thought into sure vanity isnt always the best but making myself feel presentable based on my standards really makes my seem better basically no makeup makes you feel your best awesome dramatic looks super cool light makeup also fine take care of your skin of course but using mineral wateroil cleanser followed with a watersoluble cleaner and daily spf will ensure to minimize any negative impacts also test products to see hope your skin reacts,spam,skincare
youtube#comment,2276009,16475,43091,3581195,To young,,0,2023-02-24 02:56:30+00:00,2023-02-24 02:56:30+00:00,to young,positive,other
youtube#comment,2481129,20114,64178,2099451,you are so beautiful,,0,2023-03-12 21:20:43+00:00,2023-03-12 21:20:43+00:00,you are so beautiful,spam,other
youtube#comment,310142,53161,69008,982862,😂😂,3945948.0,5,2023-12-20 00:57:28+00:00,2023-12-20 00:57:28+00:00,😂😂,positive,other
youtube#comment,4529582,45231,55963,2947397,I love indian makeup because I am indian,,0,2021-04-26 18:12:57+00:00,2021-04-26 18:12:57+00:00,i love indian makeup because i am indian,spam,cosmetic
youtube#comment,4488113,46757,78060,3533065,she suits almost any color she’s so gorgeous 😭,,0,2023-03-20 01:11:55+00:00,2023-03-20 01:11:55+00:00,she suits almost any color shes so gorgeous 😭,spam,other
youtube#comment,1036098,27485,6547,3427637,sabi nga nila selflove my okasyon man o wala wag mong pabayaan ang sarili mo lalo po kaung gumanda,,1,2022-02-17 10:59:04+00:00,2022-02-17 10:59:04+00:00,sabi nga nila selflove my okasyon man o wala wag mong pabayaan ang sarili mo lalo po kaung gumanda,positive,other
youtube#comment,3426451,11076,8533,2575632,☀️💥,,0,2025-03-21 07:24:06+00:00,2025-03-21 07:24:06+00:00,☀💥,positive,other
youtube#comment,71769,2811,75143,859786,99714 86434 This is our salon no call us for more information,2973848.0,3,2021-07-07 09:42:41+00:00,2021-07-07 09:42:41+00:00,99714 86434 this is our salon no call us for more information,positive,other
youtube#comment,2231320,41734,40598,3404598,Fenty Beauty always reaches out to creators and I love the inclusivity and shade range that they have! Comes to show how brands can reach a wider audience and include POC in their campaigns if they just put in a little effort,,1622,2025-06-05 17:20:24+00:00,2025-06-05 17:20:24+00:00,fenty beauty always reaches out to creators and i love the inclusivity and shade range that they have comes to show how brands can reach a wider audience and include poc in their campaigns if they just put in a little effort,spam,other
youtube#comment,2530997,33069,76940,1150605,👸👸👸🧛‍♀️🧛‍♀️👸👸👸👸👸👸🧛‍♀️🧛‍♀️,,0,2025-05-24 13:04:33+00:00,2025-05-24 13:04:33+00:00,👸👸👸🧛♀🧛♀👸👸👸👸👸👸🧛♀🧛♀,positive,other
youtube#comment,2102809,52838,55928,2346299,Natural look nice,,0,2024-03-15 08:36:46+00:00,2024-03-15 08:36:46+00:00,natural look nice,spam,other
youtube#comment,734530,25208,74385,2743559,She not cutting hair,,0,2024-10-03 16:35:00+00:00,2024-10-03 16:35:00+00:00,she not cutting hair,positive,hair
youtube#comment,306643,14492,50379,2462987,Shes a woman stop hating for no reason,1607389.0,1,2023-12-05 17:51:36+00:00,2023-12-05 17:51:36+00:00,shes a woman stop hating for no reason,negative,other
youtube#comment,1334685,29374,73848,419131,Love it it frames her face and looks good on her!,,0,2022-11-30 05:55:24+00:00,2022-11-30 05:55:24+00:00,love it it frames her face and looks good on her,spam,other
youtube#comment,716696,47768,64633,2626179,😂❤beijinho no ombro prá i nvejosas,,1,2024-10-29 23:35:11+00:00,2024-10-29 23:35:11+00:00,😂❤beijinho no ombro prá i nvejosas,spam,other
youtube#comment,222693,14492,18248,274666,@@MSU_11 you’re very rude and your opinion is very inaccurate,1543819.0,0,2023-05-31 19:55:36+00:00,2024-06-17 23:40:00+00:00,msu11 youre very rude and your opinion is very inaccurate,negative,other
youtube#comment,175028,16475,52479,2764501,Why teach children that make up gives you confidence,3443578.0,1,2023-01-19 17:53:49+00:00,2023-01-19 17:53:49+00:00,why teach children that make up gives you confidence,positive,other
youtube#comment,2516631,28317,85773,1521034,Aap apna upar wala hot  kyo bhool jati h ....sotela h kya ...😂... amazing & Entertaining🔥,,0,2021-05-18 06:20:39+00:00,2021-05-18 06:20:39+00:00,aap apna upar wala hot kyo bhool jati h sotela h kya 😂 amazing entertaining🔥,spam,other
youtube#comment,4275213,47768,66935,3223917,This gender😦,,0,2023-01-25 19:07:26+00:00,2023-01-25 19:07:26+00:00,this gender😦,negative,other
youtube#comment,2993592,2498,44754,3031892,Gareeb insan 🤣🤣,,0,2023-02-26 06:26:39+00:00,2023-02-26 06:26:39+00:00,gareeb insan 🤣🤣,positive,other
youtube#comment,1483941,19657,15670,1325015,You are so cute,,0,2022-03-08 06:00:33+00:00,2023-07-20 22:07:08+00:00,you are so cute,spam,other
youtube#comment,4137033,45150,35458,3642165,جميل جدا والله ❤❤❤ملامح الوجه. جميل جدا جدا,,2,2025-01-18 17:07:29+00:00,2025-01-18 17:07:29+00:00,جميل جدا والله ❤❤❤ملامح الوجه جميل جدا جدا,positive,other
youtube#comment,2631831,40113,242,3459557,straight,,0,2022-11-04 15:07:20+00:00,2022-11-04 15:07:20+00:00,straight,positive,other
youtube#comment,4354920,45900,7237,156609,So elegant 🥰,,0,2024-10-25 09:24:51+00:00,2024-10-25 09:24:51+00:00,so elegant 🥰,positive,other
youtube#comment,326369,47768,59561,475238,​@@BarbaraCloudinabur,4682657.0,0,2025-05-13 19:45:13+00:00,2025-05-13 19:45:13+00:00,barbaracloudinabur,positive,other
youtube#comment,3891585,44063,33620,3492798,Is this hairstyle suitable for someone with fine hair?,,2,2025-06-08 11:56:49+00:00,2025-06-08 11:56:49+00:00,is this hairstyle suitable for someone with fine hair,positive,hair
youtube#comment,2697391,39781,61744,3320830,Ariah binik keng burung,,0,2021-08-24 14:47:37+00:00,2021-08-24 14:47:37+00:00,ariah binik keng burung,positive,other
youtube#comment,3182315,38358,21617,2474415,pov: you have natural black hair,,0,2023-08-05 02:21:21+00:00,2023-08-05 02:21:21+00:00,pov you have natural black hair,positive,hair
youtube#comment,3320908,23510,35878,591101,"I definitely have Aurora hair
BUT I WANT BELLE HAIR SO BAD 😭😭",,0,2025-06-25 00:30:10+00:00,2025-06-25 00:30:10+00:00,i definitely have aurora hair but i want belle hair so bad 😭😭,positive,hair
youtube#comment,2716174,37371,5214,3167574,New piece of advice: be yourself instead,,0,2023-07-29 20:23:59+00:00,2023-07-29 20:23:59+00:00,new piece of advice be yourself instead,positive,other
youtube#comment,1421313,51087,48154,841427,"She didn’t even have to go that deep into explaining herself, the scrunch instantly revealed her curls🤷🏻‍♀️",,0,2023-10-22 13:57:49+00:00,2023-10-22 13:57:49+00:00,she didnt even have to go that deep into explaining herself the scrunch instantly revealed her curls🤷🏻♀,positive,other
youtube#comment,2204766,4643,71599,2043594,Imagine the glitter getting into your eyes,,602,2024-04-16 11:42:31+00:00,2024-04-16 11:42:31+00:00,imagine the glitter getting into your eyes,positive,other
youtube#comment,4288500,52079,78327,317167,That looks so ugly OMG you people  can hate on me but it just looks like its gonna burn your eyelashes,,0,2023-05-02 11:16:20+00:00,2023-05-02 11:16:20+00:00,that looks so ugly omg you people can hate on me but it just looks like its gonna burn your eyelashes,negative,general_command
youtube#comment,870933,21945,70774,3523985,"this black women sounds like a female woody....of course it comes out the scalp if its the real deal, black women are so used to wearing wigs that ""coming out the scalp"" has become a saying 

self hate makes blacks look dumb",,0,2024-09-11 03:07:17+00:00,2024-09-11 03:07:17+00:00,this black women sounds like a female woodyof course it comes out the scalp if its the real deal black women are so used to wearing wigs that coming out the scalp has become a saying self hate makes blacks look dumb,negative,general_command
youtube#comment,2466004,29048,14019,3494890,Her voice is so cute 🥰,,0,2022-07-05 21:04:49+00:00,2022-07-05 21:04:49+00:00,her voice is so cute 🥰,positive,other
youtube#comment,354672,25425,66848,1328274,How can someone give birth to a monstosity like u??? 😧😧😧,3496533.0,0,2024-04-20 13:31:33+00:00,2024-04-20 13:31:33+00:00,how can someone give birth to a monstosity like u 😧😧😧,negative,general_command
youtube#comment,4639831,43368,74922,1681474,big nose and recessed mandible gang :(,,10,2020-05-05 09:39:36+00:00,2020-05-05 09:39:36+00:00,big nose and recessed mandible gang,positive,other
youtube#comment,3680657,11076,8533,1012678,"From start to finish, incredible! 👍",,0,2025-04-03 06:42:16+00:00,2025-04-03 06:42:16+00:00,from start to finish incredible 👍,positive,other
youtube#comment,4533578,22457,26453,1966297,Sob dress itna pyara hai ki mein kya hi batao 🥰🥰  mujha vi aise dress lane ka bohat sok hai but hamari India mein etni asani sa nhi melta😒,,0,2020-12-14 05:06:25+00:00,2020-12-14 05:06:25+00:00,sob dress itna pyara hai ki mein kya hi batao 🥰🥰 mujha vi aise dress lane ka bohat sok hai but hamari india mein etni asani sa nhi melta😒,positive,other
youtube#comment,2670342,23845,84473,233962,"Idk, Edible lipgloss ? Like WTF IS THAT",,0,2025-04-03 13:42:08+00:00,2025-04-03 13:42:08+00:00,idk edible lipgloss like wtf is that,negative,general_command
youtube#comment,3129643,2811,63585,143263,Can they comb like normally?,,0,2021-07-17 15:15:06+00:00,2021-07-17 15:15:06+00:00,can they comb like normally,positive,general_command
youtube#comment,713534,10895,46768,225127,SHE IS SO PRETTY LIKE IF U AGREE❤,,0,2025-03-01 01:53:21+00:00,2025-03-01 01:53:21+00:00,she is so pretty like if u agree❤,spam,general_command
youtube#comment,1779364,805,92514,641723,Ваву,,0,2023-03-11 12:55:44+00:00,2023-03-11 12:55:44+00:00,ваву,positive,other
